chain,address,tx_total,avg_tx_per_day,avg_tx_per_block,max_tx_per_block,min_tx_per_block,std_tx_amount,tx_between_00_04,num_unique_counterparties,same_day_deposit_withdraw,most_common_amount
ETH,0x2d1831e76a60367e2b402d10604312dd6e16961a,287,11.48,1.0,1,1,0.179495,0.2056,12,1,0.2266
ETH,0xebe108215b96dd88f1c3103b4c736446dbaa1bcb,15,3.0,1.0,1,1,80.624731,0.0667,5,1,163.4
ETH,0x75bbc0143cd6512ec4fecc6dcf239841facc857e,386,8.98,1.0052,2,1,1.507201,0.0777,49,1,0.23
ETH,0x1c0942b2e2989ea3ec2437c25268ee3d01d1055e,113,9.42,1.0089,2,1,0.916439,0.0088,25,1,0.25
ETH,0x35303fb92b3d8adc96b14cdf051255a7339fd0a5,34,4.86,1.0,1,1,1.095112,0.1176,15,1,0.5
ETH,0x94ae196506182630120c2b13afdb76bf9bb04715,626,3.99,1.0097,2,1,2.158974,0.1789,118,1,0.0
ETH,0x390aeacc210a62bcc794d3893cd705db7b8c18ee,32,6.4,1.2308,4,1,7.928821,0.3438,12,1,0.4
ETH,0x5c73e981c8f76ee8cc269d0977031228863c2a3e,11,11.0,1.0,1,1,112.601018,0.0,11,1,234.14720268190257
ETH,0x2201c2a4b37c56cf5f144ce0767baa4ba51213fa,2,1.0,1.0,1,1,0.004441,0.0,2,0,0.00628
ETH,0xb6059314f014719ec22d521318efbb9cf1b05533,21,7.0,1.0,1,1,1.085779,0.0,9,1,0.223
ETH,0xd04143339aebfe583a088a5ea5af569d64ea1f29,10,10.0,1.1111,2,1,305.071641,0.0,10,1,0.64958
ETH,0x3732d97340234f68c627c72533d0f66d6471587f,6,6.0,1.2,2,1,301.069401,0.0,6,1,300.70892053304595
ETH,0xf790b3eee47afed5e7703d7e943558932accdeb0,7,3.5,1.0,1,1,1.563961,0.0,5,1,0.90904453
